round,fedprox_global_mean,fedprox_global_wt,fedprox_global_tc,fedprox_global_et,fedprox_c0_mean,fedprox_c0_wt,fedprox_c0_tc,fedprox_c0_et,fedprox_c1_mean,fedprox_c1_wt,fedprox_c1_tc,fedprox_c1_et,fedavg_global_mean,fedavg_global_wt,fedavg_global_tc,fedavg_global_et,fedavg_c0_mean,fedavg_c0_wt,fedavg_c0_tc,fedavg_c0_et,fedavg_c1_mean,fedavg_c1_wt,fedavg_c1_tc,fedavg_c1_et
21,0.5107429027557373,0.6692173480987549,0.5261922478675842,0.33681920170783997,0.4692120850086212,0.6570972204208374,0.4822397828102112,0.2682991921901703,0.5531196594238281,0.6972739100456238,0.5893728733062744,0.3727121949195862,0.5163285136222839,0.6790042519569397,0.5437946915626526,0.32618650794029236,0.44510793685913086,0.6409515142440796,0.4701439440250397,0.22422844171524048,0.6161685585975647,0.7515425682067871,0.66779625415802,0.4291667938232422
22,0.541350245475769,0.6524834632873535,0.5502139925956726,0.4213532507419586,0.4711531698703766,0.6214926242828369,0.4669427275657654,0.3250240981578827,0.6061090230941772,0.6987116932868958,0.6733187437057495,0.4462965428829193,0.5651760101318359,0.7067645192146301,0.6029002070426941,0.3858633041381836,0.46621599793434143,0.6533176898956299,0.5036792755126953,0.24165107309818268,0.6751664280891418,0.7744364738464355,0.7488644123077393,0.5021984577178955
23,0.5352880358695984,0.6266123056411743,0.5495641827583313,0.4296875,0.4690195322036743,0.6008029580116272,0.4708763360977173,0.3353792428970337,0.5901708006858826,0.6646814346313477,0.6632502675056458,0.44258081912994385,0.6076457500457764,0.7215847969055176,0.6080706715583801,0.49328184127807617,0.5317937135696411,0.6836484670639038,0.5298367738723755,0.38189586997032166,0.6590830087661743,0.7813472747802734,0.6973665356636047,0.49853530526161194
24,0.5581863522529602,0.6517043709754944,0.5543205142021179,0.4685342311859131,0.4877380132675171,0.6205118894577026,0.4688401222229004,0.37386199831962585,0.6097085475921631,0.6974741220474243,0.6784952878952026,0.45315617322921753,0.6042935848236084,0.6829943060874939,0.5882227420806885,0.541663646697998,0.5398757457733154,0.6307456493377686,0.5212968587875366,0.4675846993923187,0.6161553859710693,0.757147490978241,0.6232565641403198,0.46806222200393677
25,0.5396892428398132,0.6370876431465149,0.5315482020378113,0.45043182373046875,0.4557393491268158,0.5973554849624634,0.4426114559173584,0.327251136302948,0.566961407661438,0.6953954696655273,0.6401823163032532,0.36530646681785583,0.6499879956245422,0.7176868915557861,0.6453930735588074,0.5868839025497437,0.5749109983444214,0.6657214760780334,0.5541449189186096,0.5048666000366211,0.6864771842956543,0.7972677946090698,0.7280429601669312,0.5341209173202515
26,0.6233470439910889,0.7068572044372559,0.5988093018531799,0.5643746256828308,0.5470149517059326,0.6699050664901733,0.5016548037528992,0.46948498487472534,0.6857821345329285,0.7678921222686768,0.7449595928192139,0.54449462890625,0.6388404965400696,0.7110392451286316,0.6199776530265808,0.5855045914649963,0.556735098361969,0.654737114906311,0.5215654373168945,0.4939028024673462,0.6889517307281494,0.7989991307258606,0.7208267450332642,0.5470292568206787
27,0.6090617179870605,0.7327754497528076,0.6023707985877991,0.4920389652252197,0.5413575172424316,0.6969670057296753,0.5310814380645752,0.39602410793304443,0.6672309041023254,0.7970561981201172,0.7046476602554321,0.49998897314071655,0.6534507870674133,0.7428510785102844,0.644809901714325,0.5726914405822754,0.5609955191612244,0.6979930400848389,0.538821280002594,0.446172297000885,0.7358524203300476,0.8124743103981018,0.7786487936973572,0.6164339780807495
28,0.6392706036567688,0.7203777432441711,0.6090622544288635,0.5883719325065613,0.5642518401145935,0.6804637908935547,0.5090118050575256,0.503279983997345,0.6919450759887695,0.7810391187667847,0.7518837451934814,0.542912483215332,0.6409593224525452,0.7116422057151794,0.6210532188415527,0.5901825428009033,0.5535057187080383,0.6488444805145264,0.5282818078994751,0.4833909273147583,0.6810017228126526,0.795770525932312,0.7171640992164612,0.5300706028938293
29,0.6069150567054749,0.6631205677986145,0.5872271060943604,0.5703975558280945,0.5575993061065674,0.6302616000175476,0.5103089213371277,0.5322273969650269,0.6365880370140076,0.7242281436920166,0.6917662620544434,0.4937697947025299,0.6546313762664795,0.7333118319511414,0.6173771023750305,0.6132052540779114,0.6038879156112671,0.684281587600708,0.5638035535812378,0.5635786056518555,0.6496922969818115,0.8098253011703491,0.6320468783378601,0.5072047710418701
30,0.656898021697998,0.7291560769081116,0.6335689425468445,0.6079689860343933,0.5667044520378113,0.685977578163147,0.5230478644371033,0.49108803272247314,0.7320165038108826,0.7915611267089844,0.788138747215271,0.6163495779037476,0.5967394709587097,0.6125991940498352,0.6177291870117188,0.5598900318145752,0.507886528968811,0.548313319683075,0.5254888534545898,0.44985735416412354,0.6705264449119568,0.7038402557373047,0.741503119468689,0.5662358999252319
